classification,n_trades,n_closes,total_pnl,avg_pnl_per_trade,avg_pnl_per_close,win_rate_%,avg_size_usd,median_size_usd,total_volume_usd,buy_pct
Extreme Fear,21400.0,10406.0,739110.2484899999,34.53786207897196,71.02731582644627,76.21564482029598,5349.7318429906545,766.15,114484261.44,51.09813084112149
Fear,61837.0,29808.0,3357155.441642,54.2903996254993,112.62598770940687,87.28864734299518,7816.109930785776,735.96,483324789.79,48.951275126542356
Neutral,37686.0,18159.0,1292920.67555,34.30771839807886,71.19999314664905,82.38889806707418,4782.732661465797,547.655,180242063.08,50.33434166533991
Greed,50303.0,25176.0,2150129.272951,42.74355948851957,85.40392727005876,76.89068954559897,5736.884375086972,555.0,288582494.71999997,48.8559330457428
Extreme Greed,39992.0,20853.0,2715171.3106730003,67.89286133909283,130.20530910051312,89.16702632714717,3112.2515645629132,500.05,124465164.57000002,44.85897179435887
